title;job;company;city;region;postal_code;date
Data Analyst Waffensystemdaten mit Schwerpunkt logistische Analysen (m/w/d);Data-Analyst/in;IABG Industrieanlagen Betriebs-GmbH;Hamburg;Hamburg;Not provided;2026-04-29
Data Analyst (m/w/d) Lebensversicherung;Wirtschaftsinformatiker/in (Hochschule);Bankpower GmbH;Hamburg;Hamburg;20095;2026-05-18
(Junior) Data Analyst Campaigning (w/m/d);Business-Analyst/in;freenet;Hamburg;Hamburg;22085;2026-05-16
Big Data Analyst;Informatiker/in;alfatraining Bildungszentrum GmbH;Hamburg;Hamburg;20097;2025-02-11
Data Analyst im Perfomance Management (m/w/d) für AIRBUS Logistik;Data-Analyst/in;SimpleXX GmbH;Hamburg;Hamburg;Not provided;2026-06-08
PLM Engineering Data Analyst (m/w/d);Machine Learning Engineer;Rheinmetall AG;Hamburg;Hamburg;21073;2025-08-26
Data Analyst (m/w/d) Perfomance Management AIRBUS;Wirtschaftsingenieur/in;Orizon GmbH, Unit Aviation;Hamburg;Hamburg;21129;2026-06-04
Data Analyst / IT Anwendungsprogrammierer:in (all genders) -Medizinische Register & Datenanalyse;Data-Analyst/in;Universitätsklinikum Hamburg-Eppendorf GB Personal, Recht & Organisation;Hamburg;Hamburg;20251;2026-05-27
Research Associate / Data Analyst / IT Application Developer (all genders);Data-Analyst/in;Universitätsklinikum Hamburg-Eppendorf GB Personal, Recht & Organisation;Hamburg;Hamburg;20251;2026-05-25
Excel Analyst (m/w/d) – Datenanalyse & Kalkulation;EDV-Sachbearbeiter/in;Vilo-Personal GmbH Leipziger P;Hamburg;Hamburg;22335;2026-06-05
Data Engineer (m/w/d);Data Engineer;expertum GmbH;Hamburg;Hamburg;20537;2026-06-05
Big Data Analytics;Data-Analyst/in;alfatraining Bildungszentrum GmbH;Hamburg;Hamburg;20097;2025-02-11
Sales Data & Pricing Manager:in (w/m/d);Data-Analyst/in;Kalorimeta GmbH;Hamburg;Hamburg;20097;2026-04-09
ATA (m/w/d);Data-Analyst/in;KCS Medical GmbH;Hamburg;Hamburg;22301;2026-05-29
NTT DATA Deutschland SE: Senior Data Strategy Consultant (w/m/x);Business-Intelligence-Consultant;NTT DATA Deutschland SE;Hamburg;Hamburg;20457;2026-05-27
NTT DATA Business Solutions Global Managed Services GmbH: Automation Business Process Analyst (f/m/d;Prozessmanager/in - RPA;NTT DATA Business Solutions Global Managed Services GmbH;Hamburg;Hamburg;20097;2026-06-11
Werkstudent Netzentwicklung (m/d/w);Data-Analyst/in;Hamburger Energienetze GmbH;Hamburg;Hamburg;20457;2026-06-06
Datatypisten (m/w/d) / BÜROHELFER  (mIwId);Datenerfasser/in;Jobdistrict GmbH;Hamburg;Hamburg;20097;2025-02-17
Business Data Analyst (w/m/d);Data-Analyst/in;DENIC eG;Frankfurt am Main;Hessen;60308;2026-06-08
Data Analyst (w/m/d);Business-Analyst/in;S&N Invent;Eschborn, Taunus;Hessen;65760;2026-04-15
Data Analyst*in Distributions- und Channelmanagement;Data-Analyst/in;Hessischer Rundfunk;Frankfurt am Main;Hessen;60320;2026-05-29
Big Data Analyst (w/m/d);Data Engineer;EMOS Software GmbH;Frankfurt am Main;Hessen;Not provided;2025-06-13
Data Analyst (m/w/d) mit Schwerpunkt Finanzdaten und ERP-Auswertungen;Data-Analyst/in;Nexia GmbH;Frankfurt am Main;Hessen;60325;2026-05-18
HR Controller / HR Data Analyst (m/w/d);Mathematiker/in;Finanz Informatik GmbH & Co. KG;Frankfurt am Main;Hessen;Not provided;2026-04-10
Big Data Analyst;Informatiker/in;alfatraining Bildungszentrum GmbH;Frankfurt am Main;Hessen;60322;2025-02-11
HR Controller / HR Data Analyst (m/w/d);Betriebswirt/in (Hochschule) - Rechnungswesen und Controlling;Finanz Informatik GmbH & Co. KG;Frankfurt am Main;Hessen;60311;2026-05-01
Senior HR Controller / HR Data Analyst (m/w/d);Wirtschaftsinformatiker/in (Hochschule);Finanz Informatik GmbH & Co. KG;Frankfurt am Main;Hessen;60486;2026-05-07
Senior HR Controller / HR Data Analyst (m/w/d);Betriebswirt/in (Hochschule) - Bank und Finanzdienstleistungen;Finanz Informatik GmbH & Co. KG;Frankfurt am Main;Hessen;Not provided;2026-04-10
EY-Parthenon Praktikant Data Analyst - Strategy and Transactions (w/m/d);Data-Analyst/in;EY Strategy & Transactions GmbH;Eschborn, Taunus;Hessen;65760;2026-03-11
Sales Data Analyst (m/f/d), Langen;Data-Warehouse-Analyst/in;NMB Minebea GmbH Langen;Langen (Hessen);Hessen;63225;2026-04-23
Big Data Analytics;Data-Analyst/in;alfatraining Bildungszentrum GmbH;Frankfurt am Main;Hessen;60322;2025-02-11
NTT DATA Deutschland SE: Senior Data Strategy Consultant (w/m/x);Business-Intelligence-Consultant;NTT DATA Deutschland SE;Frankfurt am Main;Hessen;60487;2026-05-27
Analyst - Voice of Customer ( m/f/d);Ingenieur/in - Elektrotechnik;Da Vinci Engineering GmbH;Frankfurt am Main;Hessen;60308;2026-05-20
Customer Experience Analyst (m/f/d);Business-Analyst/in;Hays Professional Solutions GmbH Standort Dortmund;Raunheim;Hessen;65479;2026-05-29
Lead-Business-Functional-Analyst---Risk;Betriebswirt/in (Hochschule);Deutsche Bank AG;Frankfurt am Main;Hessen;60325;2026-04-09
Identity & Access Management – Technology Management Senior Analyst (f/m/x);Wirtschaftsingenieur/in;Deutsche Bank AG;Frankfurt am Main;Hessen;60486;2026-04-09
NTT DATA Deutschland SE: SAP AMS Service Delivery Manager (w/m/x);Leiter/in - Projekt-/Programmmanagement;NTT DATA Deutschland SE;Frankfurt am Main;Hessen;60487;2026-06-01
NTT DATA Deutschland SE: Lead Cloud Native Application Solution Architect (w/m/x);Berater/in - digitale Transformation;NTT DATA Deutschland SE;Frankfurt am Main;Hessen;60487;2026-06-05
Data Scientist  (m/w/d), Frankfurt;Data-Warehouse-Analyst/in;compeople;Frankfurt am Main;Hessen;60329;2026-02-19
NTT DATA Deutschland SE: Client Partner Railway Services (w/m/x);Key-Account-Manager/in;NTT DATA Deutschland SE;Frankfurt am Main;Hessen;60487;2026-05-30
NTT DATA Deutschland SE: Senior Business Analyst - Core Insurance (m/w/x) Guidewire & Business Proce;Anwendungssystemberater/in;NTT DATA Deutschland SE;Frankfurt am Main;Hessen;60487;2026-05-30
Service & Application Owner (m/w/d) Data Warehouse / Data Platform;Data-Warehouse-Analyst/in;BHS Bad Homburger Servicegesellschaft mbH;Bad Vilbel;Hessen;61118;2026-05-06
Business Intelligence und Data Analytics Consultant (m/w/d);IT-Berater/in;accantec;Frankfurt am Main;Hessen;60313;2026-04-15
Senior Python Engineer [m/w/d] - 100% Remote;Web Developer;Die Tech Recruiter GmbH;Berlin;Berlin;Not provided;2026-05-29
Python / LangChain / KI Entwickler [m/w/d] - 100% Remote;Web Developer;Die Tech Recruiter GmbH;Berlin;Berlin;Not provided;2026-05-29
Senior AI Developer (w/m/d);KI-Engineer;Anders & Ganz GmbH;Berlin;Berlin;10117;2025-12-19
Senior Fullstack Developer [m/w/d] - Hamburg / Berlin;Anwendungsprogrammierer/in;Die Tech Recruiter GmbH;Berlin;Berlin;Not provided;2026-03-20
Software Developer* Cloud-Technologien;Softwareentwickler/in;inovex GmbH;Berlin;Berlin;Not provided;2025-05-22
Senior Software Developer - Digital Government (m/w/d);Fullstack-Entwickler/in;Bundesdruckerei Gruppe GmbH;Berlin;Berlin;10969;2026-02-05
Senior Full Stack Developer;Fullstack-Entwickler/in;neuraflow GmbH;Berlin;Berlin;13355;2025-05-22
(Junior) Developer Automation RPA | (w/m/d);Prozessmanager/in - RPA;Automation Factory GmbH;Berlin;Berlin;10585;2024-04-24
AI-Developer (gn) CAD-Tools;Ingenieur/in - Maschinenbau;PAMEC PAPP GmbH;Berlin;Berlin;10553;2026-05-06
AI-Developer (gn) CAD-Tools;Industriekaufmann/-frau;PAMEC PAPP GmbH;Berlin;Berlin;10553;2026-05-06
Full-Stack Developer C++ /JavaScript/React;Backend-Entwickler/in;secunet Security Networks AG;Berlin;Berlin;10559;2026-03-30
Full-Stack Software Engineer (m/f/d);Mobile Developer;Deloitte GmbH;Berlin;Berlin;10719;2025-11-04
Senior Python Engineer [m/w/d] - 100% Remote;Web Developer;Die Tech Recruiter GmbH;Hamburg;Hamburg;Not provided;2026-05-29
Python / LangChain / KI Entwickler [m/w/d] - 100% Remote;Web Developer;Die Tech Recruiter GmbH;Hamburg;Hamburg;Not provided;2026-05-29
Senior AI Developer (w/m/d);KI-Engineer;Anders & Ganz GmbH;Hamburg;Hamburg;20457;2025-12-19
Senior Java Developer (m/w/d);Backend-Entwickler/in;EDEKA IT Stiftung & Co. OHG;Hamburg;Hamburg;22297;2026-04-09
Senior Developer Monitoring (m/w/d);Anwendungsprogrammierer/in;EDEKA IT Stiftung & Co. OHG;Hamburg;Hamburg;22297;2026-04-09
Senior Fullstack Developer [m/w/d] - Hamburg / Berlin;Anwendungsprogrammierer/in;Die Tech Recruiter GmbH;Hamburg;Hamburg;Not provided;2026-03-20
Software Developer* Cloud-Technologien;Softwareentwickler/in;inovex GmbH;Hamburg;Hamburg;Not provided;2025-05-22
Software Developer Data Migration (all genders);Softwareentwickler/in;msg life central europe gmbh;Hamburg;Hamburg;20354;2025-11-25
Full Stack GIS Developer:in im Projekt „LIG 4“ (Administrative Forschungsunterstützung);Fullstack-Entwickler/in;HafenCity Universität Hamburg;Hamburg;Hamburg;20457;2026-06-11
DevOps Engineer & PQL Developer (m/w/d) Output-Management mit Papyrus;DevOps Engineer;SIGNAL IDUNA Krankenversicherung a. G.;Hamburg;Hamburg;22297;2026-04-02
DevOps Engineer & Java Developer (m/w/d) Input-Management mit SmartFix & DocAI;DevOps Engineer;SIGNAL IDUNA Krankenversicherung a. G.;Hamburg;Hamburg;22297;2026-04-02
#14472 AI Developer (m/w/d);Web Developer;Constaff GmbH;Frankfurt am Main;Hessen;Not provided;2026-06-09
KI Developer Kundenschnittstellen (m/w/d);Informatiker/in;FERCHAU GmbH Niederlassung Frankfurt;Frankfurt am Main;Hessen;60311;2026-06-11
Software Developer (m/f/d);Ingenieur/in - Elektrotechnik;Da Vinci Engineering GmbH;Frankfurt am Main;Hessen;60320;2026-05-20
IT Trainee - Software Engineer/Developer;Informatiker/in;Commerzbank AG;Frankfurt am Main;Hessen;60311;2026-03-17
Junior Excel & VBA Developer im Sales Operations Management (m/w/d);Entwickler/in - Datenvisualisierung;FrischeParadies GmbH & Co. KG;Frankfurt am Main;Hessen;65933;2026-02-17
Data Engineer;Data Engineer;alfatraining Bildungszentrum GmbH;Berlin;Berlin;10247;2025-02-10
Data Engineer (m/w/d);Datenbankentwickler/in;Transdev;Berlin;Berlin;10178;2026-06-10
(Junior) Data Engineer (m/w/d);Data Engineer;CGI;Berlin;Berlin;10179;2026-06-01
Data Engineer (w/m/d);Datenbankentwickler/in;con terra;Berlin;Berlin;10178;2026-04-15
Data Engineer (w/m/d);Data Scientist;KBV Kassenärztliche Bundesvereinigung;Berlin;Berlin;10623;2026-05-29
Data Engineer (w/m/d);Data Scientist;Siemens Energy Global GmbH & Co. KG;Berlin;Berlin;10553;2026-01-29
Azure Data Platform Engineer (m/w/d);Data Engineer;netgo group GmbH;Berlin;Berlin;10178;2026-06-04
Data Engineer* / Machine Learning Engineer*;Data Engineer;inovex GmbH;Berlin;Berlin;Not provided;2025-05-22
KI Data Engineer (w/m/d);Datenbankentwickler/in;Syngenio;Berlin;Berlin;10178;2026-04-15
(Senior) Data Migration Engineer (m/w/d) Schwerpunkt Teamcenter;Data Engineer;Profi Talent Recruitment UG PTR;Berlin;Berlin;Not provided;2026-06-12
Industrial Data Engineer (m/w/d);Informatiker/in;Schmitt GmbH;Berlin;Berlin;13629;2026-05-19
Cloud Data Engineer (m/w/d);IT-Systemadministrator/in;PRODATO;Berlin;Berlin;10178;2026-05-27
Data Engineer  – KI-Anwendungsentwicklung und Datenanalyseplattformen (m/w/d);Data Engineer;Bundesdruckerei Gruppe GmbH;Berlin;Berlin;10969;2026-03-23
(Junior) Data Engineer (m/w/d) DWH;Data Engineer;Verti Versicherung AG;Teltow;Brandenburg;14513;2026-02-12
Senior Data Engineer* / Machine Learning Engineer*;Data Engineer;inovex GmbH;Berlin;Berlin;Not provided;2025-05-22
