company_id,company
327,FindYou Consulting GmbH
328,Pergolux
329,SumUp
330,Hack The Box
331,Xcelirate
332,CloudFactory
333,trawa
334,GLS/NXT
335,Qorelo
336,Gropyus
337,vrame consult
338,Avomind
339,Controlware GmbH
340,XXXLutz
341,ANGEHEUERT GmbH Personalberatung
342,Moonfare
343,diconium
344,Parloa
345,LiveEO GmbH
346,Planet
347,Stark
348,Delivery Hero
349,Axel Springer Tech GmbH
350,Scalable GmbH
351,ANGEHEUERT GmbH
352,hallo theo
353,Quanto Solutions GmbH
354,Eberlein Kunz
355,NETINERA Deutschland GmbH
356,Galvany
357,INFOMOTION GmbH
358,BMW Group
359,ALL IN GROUP
360,CELUS
361,Project-S Space and Beyond Technologies GmbH
362,Squer
363,SQUER
364,Amfileon AG
365,E.ON Digital Technology GmbH
366,STAT-UP Statistical Consulting & Data Science
367,TrustYou
368,hubside - Die Recruitingwerkstatt
369,Thoughtworks
370,carbmee GmbH
371,JobRad Loop
372,PRODYNA SE
373,driveblocks
374,Personal Direkt 24 GmbH
375,Vesterling AG
376,Simon-Kucher & Partners
377,Ayvens
378,Reos GmbH
379,Delphi HR-Consulting GmbH
380,vrame Consult GmbH
381,R+V Allgemeine Versicherung AG
382,Highberg DACH
383,Highberg
384,EDEKA IT Stiftung & Co. OHG
385,Fehrmann Tech Group
386,Amazon Workforce Staffing
387,Amazon TA
388,Dr. Dienst & Partner
389,Jedox
390,IBM
391,Thinkport
392,Solactive AG
393,statworx
394,integration-factory & Co. KG
395,ING
396,Passion for People GmbH
397,Mindrift
398,Logicalis
399,Goodman Group
400,A100 ROW GmbH
401,Circonomit GmbH
402,REWE Group
403,"ISCC, Meo, 4C, GRAS, ClimatePal & TYC"
404,drjve AG
405,CGI
406,taod Consulting
407,taod Consulting GmbH
408,Kramer & Crew GmbH & Co. KG
409,areto Gruppe
410,rheindata
411,rheindata GmbH
412,Trusteq
413,Stolzberger GmbH
414,Akkodis
415,ARD ZDF Deutschlandradio Beitragsservice
416,super.AI
417,Sensmore
418,Just Eat
419,Tripledot Studios
420,Sonia
421,Vestiaire Collective
422,Deutsche Kreditbank AG 
423,Doopic GmbH
424,Not provided
425,Smartly
426,Peregrine Technologies GmbH
427,Zalando
428,Your mission dida
429,Merantix Momentum
430,idealo internet GmbH
431,brayn.io
432,voize
433,Amazon Development Center Germany GmbH
434,Match on Monday GmbH & Co. KG
435,PDR.cloud GmbH
436,Limebit GmbH
437,HelloFresh
438,Pfizer
439,FOM Hochschule für Oekonomie&Management gemeinnützige GmbH
440,mycareernow GmbH
441,Charité - Universitätsmedizin Berlin
442,Blackbird Robotersysteme GmbH
443,HOLZER Firmengruppe
444,Avelios Medical GmbH
445,International School of Management 
446,KNDS
447,Sonia Solutions
448,Holzer Human Resources
449,Holzer Human Resources GmbH
450,Pricenow
451,Gini
452,Huawei Research Center Germany
453,ZEISS
454,Batch Robotics GmbH
455,Expert Analytics GmbH
456,KNDS Deutschland
457,Advantest Europe GmbH
458,ARRK Engineering GmbH
459,LexCom Informationssysteme GmbH
460,Deutsches Zentrum für Luft- und Raumfahrt e.V. 
461,E Airbus Defence and Space GmbH
462,Technische Universität München 
463,Otto GmbH & Co. KGaA
464,best practice consulting AG
465,Blueforte
466,GPI Consulting
467,Workwise GmbH
468,Knowledge Foundation @ Reutlingen University
469,CHECK24
470,HanseMerkur Versicherungsgruppe
471,Deutsches Elektronen-Synchrotron DESY
472,ENCAVIS Management GmbH & Co. KG
473,XING
